PAYS;CAPITALE;CONTINENT
Afghanistan;Kaboul;Asie
Albanie;Tirana;Europe
Algérie;Alger;Afrique
Andorre;Andorre La Vella;Europe
Angola;Luanda;Afrique
Anguilla;The Valley;Amérique du Nord
Antigua et Barbuda;Saint-Jean;Amérique du Nord
Argentine;Buenos Aires;Amérique du Sud
Arménie;Erevan;Europe
Aruba;Oranjestad;Amérique du Nord
Australie;Canberra;Australie
Autriche;Vienne;Europe
Azerbaïdjan;Bakou;Europe
Iles des Açores;Ponta Delgada;Europe
Bahamas;Nassau;Amérique du Nord
Bahreïn;Manama;Asie
Bangladesh;Dhaka;Asie
Barbade;Bridgetown;Amérique du Nord
Belgique;Bruxelles;Europe
Bélize;Belmopan;Amérique du Nord
Bénin;Porto Novo;Afrique
Iles Bermudes;Hamilton;Amérique du Nord
Bhoutan;Thimbou;Asie
Bolivie;La Paz;Amérique du Sud
Bosnie-Herzégovine;Sarajevo;Europe
Botswana;Gaborone;Afrique
Brésil;Brasilia;Amérique du Sud
Iles Vierges Britanniques;Road Town;Amérique du Nord
Bulgarie;Sofia;Europe
Burkina Faso;Ouagadougou;Afrique
Burundi;Bujumbura;Afrique
Cambodge;Phnom Penh;Asie
Cameroun;Yaoundé;Afrique
Canada;Ottawa;Amérique du Nord
Cap Vert;Praïa;Afrique
Iles Cayman;Georgetown;Amérique du Nord
Centre-Afrique;Bangui;Afrique
Tchad;N'Djamena;Afrique
Chili;Santiago;Amérique du Sud
Chine;Pékin;Asie
Colombie;Bogota;Amérique du Sud
Comoros;Moroni;Afrique
Congo;Brazzaville;Afrique
Iles Cook;Avarua;Océanie
Costa Rica;San José;Amérique du Nord
Croatie;Zagreb;Europe
Cuba;La Havane;Amérique du Nord
Chypre;Nicosie;Europe
République Tchèque;Prague;Europe
Danemark;Copenhage;Europe
Djibouti;Djibouti;Afrique
Dominique;Roseau;Amérique du Nord
République Dominicaine;Saint-Domingue;Amérique du Nord
Equateur;Quito;Amérique du Sud
